,0
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,1120.7854445106288
2020-01-13,1122.2622528338263
2020-01-14,1187.1104449652219
2020-01-15,1148.0200424516754
2020-01-16,1082.8881798001328
2020-01-17,1179.0132031238027
2020-01-18,1189.9844672398501
2020-01-19,1303.271637390333
2020-01-20,1312.676244429918
2020-01-21,1320.582549725182
2020-01-22,1247.6733381691104
2020-01-23,1174.739123924858
2020-01-24,1223.609749739165
2020-01-25,1232.7630850070725
2020-01-26,1197.0777875007436
2020-01-27,1265.504084401916
2020-01-28,1359.818489509631
2020-01-29,1411.5161005565094
2020-01-30,1436.7342119995212
2020-01-31,1312.0982545564018
2020-02-01,1242.4884626202202
2020-02-02,1128.969895869964
2020-02-03,1200.4053995403126
2020-02-04,1281.8529706942184
2020-02-05,1148.8612101160732
2020-02-06,1080.729603671238
2020-02-07,1110.0142222451232
2020-02-08,1014.4980492309787
2020-02-09,960.7534112068423
2020-02-10,874.9687494866263
2020-02-11,798.6455944439575
2020-02-12,845.5988568657199
2020-02-13,908.8249044940538
2020-02-14,933.8929821427673
2020-02-15,799.8324110373219
2020-02-16,723.4387505698791
2020-02-17,780.5009351166426
2020-02-18,828.9090247248092
2020-02-19,800.2457785044966
2020-02-20,839.9058610446336
2020-02-21,867.5497251448583
2020-02-22,852.1697020427855
2020-02-23,786.7255017927336
2020-02-24,771.7451340492372
2020-02-25,834.6346916801036
2020-02-26,859.249415113623
2020-02-27,981.2515532246372
2020-02-28,1008.2979181678064
2020-02-29,1042.8940809206922
2020-03-01,1082.0137703573632
2020-03-02,1045.376025095264
2020-03-03,1047.8132941815627
2020-03-04,1033.007793756071
2020-03-05,1059.6026465776658
2020-03-06,1196.5172458261998
2020-03-07,1223.9933457826105
2020-03-08,1170.719474810178
2020-03-09,1157.400468337367
2020-03-10,1102.627809033587
2020-03-11,1135.7826034240968
2020-03-12,1118.52380593281
2020-03-13,1090.2480263352672
2020-03-14,1062.38011289538
2020-03-15,1093.864705046396
2020-03-16,961.5110811345909
