msg,label
": Arrogance is arrogance.  It is not the result of religion, it is the result
: of people knowing or firmly believing in an idea and one's desire to show
: others of one's rightness.  I assume that God decided to be judge for our
: sake as much as his own, if we allow him who is kind and merciful be the 
: judge, we'll probably be better off than if others judged us or we judged 
: ourselves.  

I'm not sure I agree with this 100%.  I agree that arrogance is not the result
of religion and that God is a far better judge than we are.  I also agree if
you mean to say that arrogance shows up in the form of trying to prove one's
superior knowledge, rightness, or holiness over another person's beliefs.

I need to be careful to understand what you mean here so that I do not fall
into the mistake of misrepresenting your views.  If I fall down in this area
I hope you will forgive me.

Arrogance is not the result of believing one is right or of believing that
one's God is greater than the god's of others or of believing that one's
religion is better than other religions.  These are all naturally self-implied
beliefs.

It is self-contradictory to say that I believe my current beliefs to be wrong.
Were I to find myself in error, my beliefs would naturally change and follow
what I believe to be right.  Therefore, I must always consider my beliefs
correct.  That's not arrogance.  That's unavoidable behavior.

It is nonsense to say that I believe another person's god to be greater than
my God.  Were his or her god greater, wouldn't I be obligated to change so
that their god would become my God?  We are naturally obligated to worship
that God which we deem to be the greatest.  Why should we feel obligated to
worship a second best god for the sake of feeling humble?

Arrogance is not necessarily thinking onesself to be better looking or more
intelligent or stronger or having more resources than another person.  No
doubt many will have to chew on this one awhile.  Were passive observation
of one's superior points arrogance, then God would be most arrogant of all.

Humility does not rest in slandering or belittling God's work of creation in
our lives.  People often go around trying to be humble saying to one another,
""I'm not very smart.  I'm poor.  I'm not good looking.  I'm just a worm in
the ground.  I'm such a weak person and although I don't want to sin, I
really cannot help it.""  Were this person truely humble, he would take a
different approach.  ""God, thank you for making me the way you did.  I know
that you never do anything second best.  Yet with all that you have given me,
I have been so unthankful.  You've given me power to resist the devil.  I
have not used it but have indulged myself in doing exactly what you have said
not to do.  I have slandered your creation in my life and have credited myself
with humility for doing so.  Lord, with all you've given me, I have been
completely unfaithful and I do not deserve your forgiveness.  And, yet Your
love for me is so boundless that you would give Yourself to die for me to
save me.  As terribly evil as I am, I deserve to go straight to hell, yet it
pleases you somehow to rescue me from this terrible life I've led.  Lord,
please forgive me and help me stay on the right track so that I can bring
glory to Your Name instead of insult.  Lord I'm so sorry for my wrongs.  Please
help me to change.""

: 
: I think people take exceptional offense to religious arrogance because
: they don't want to be wrong.  If I find someone arrogant, I typically
: don't have anything to do with them.

For me, I've often found it hard to tell the difference.  Often times, the
most humble christian has come across to me as arrogant while the most
proud ""worm in the ground"" false humility type person has been found to be
most comfortable company.

When I'm wrong and arrogant about my wrongness, I certainly don't feel like
being confronted by my wrongness.  Were someone to confront me verbally with
my wrongness, I'd be likely to snap at them and examine them head to toe for
all their faults and charge them with hypocricy for what they said to me.
At the root, my desire would be to make them shut up so that I can go about
living my life arrogantly as I wish.  However, were someone to confront me
silently by their example, earn my respect, and perhaps mention it to me in
humility in private, I'd feel broken down and challenged to seek God for help
in changing from the error of my ways.

The hard part is getting to the point to where I can be humble before anyone
regardless of their humility or pride--regardless of their hypocricy or
sincerity--regardless of whether onlookers will frown down upon me or not.
It isn't easy to take this pain in love with thankfulness for the opportunity
to improve in one's ability to serve God.  It's easier to cast aside any hope
of reaching true humility and merely hide behind slandering God's creation
in our lives instead.

: But we should examine ourselves [I hope I typed this back in right]
: and why we react to certain situations with such emotions.  For instance,
: many of us feel ""justified"" to be insulted by an arrogant person.  As if
: we needed a reason to feel insulted.  But after being insulted over and
: over again by the words of others, you'd think we'd either toughen up
: or decide not to be insulted, or ignore the insult.  Just because you
: can justify feelings of anger or insult or outrage, that doesn't make that
: reaction the appropriate one.  It is in this light of self-examination
: that we can change our emotional reactions.
: 

Sometimes it helps when we can understand and feel the difference between
what is a true statement of our character and what is a false and slanderous
statement of our character.  The devil is the accuser of the bretheren.  He
would love us to feel hopelessly guilty where we are innocent and feel arrogant
and self-righteous where we are indeed wrong.  The devil's aim is to get us
into as much misery as he can.  Just think of the devil as a cruel and merci-
less criminal who torments a parent by burning his or her children with
hot irons.  The way the devil gets under the Father's skin is by hurting
those that the Father loves so much.


--
-----------------------------------------------------------------------
	""I deplore the horrible crime of child murder...
	 We want prevention, not merely punishment.
	 We must reach the root of the evil...
	 It is practiced by those whose inmost souls revolt
	 from the dreadful deed...
	 No mater what the motive, love of ease,
		or a desire to save from suffering the unborn innocent,
		the woman is awfully guilty who commits the deed...
	 but oh! thrice guilty is he who drove her
		to the desperation which impelled her to the crime.""",soc.religion.christian
"

No joke.  Here's another copy for you to save.  NPR, hmmm?  Did they
mention the part about ""The fact of law enforcement access to the
escrowed keys will not be concealed from the American public."" ...?
------------------------------------------------------------------------",misc.forsale
"Does anybody know the FTP site with the latest Windows drivers for the ATI
GUP?
Thanks

",rec.autos
"
	I was hoping for something like ""The chassis exhibits X 
degrees of flex when subjected to forces of more than Y units.
Forces of more than Y units begin to manifest at Z miles per hour.""

	Not ""Well, gee, it wasn't designed to go fast because, uhh,
well, gee, it wasn't designed to go fast.  It's not a Porsche, you
know"".


	Well, as compared to the normal Taurus, the SHO comes
with more supportive seats,better brakes,a stiffer suspension,
different tires, and a body design that takes advantage of aero
effects to keep the car on the ground (or at least I think that's
what all that boy-racer plastic is for).  You're kidding yourself if
you think any car on the road has a passenger compartment made to
withstand 130 MPH impacts.  


	Oh, right.  Only 120,000 dollar cars should be driven fast.
They drive goddamn Rabbits at 120 MPH in Europe, pal, and I reckon
a Taurus is at least as capable as a Rabbit.


	Of course not.  ""Speeding-is-bad.  Speeding-is-illegal. 
I-will-not-speed.  I-love-Big-Brother.""  You had your mind made up
already.

	It's interesting that lots of the roads out west had *NO*
speed limits until 1975.  ",talk.politics.guns
"}Dillon has published a letter in the Blue Press telling people
}""How to Bankrupt HCI"" by requesting information from them.
}
}Last time this idea went around in rec.guns, a couple of people
}said that HCI counts all information requestors as ""members"".
}
}Can anyone confirm or deny this?
}
}If true, what's the impact of HCI getting a few thousand new
}members?

Last I heard, HCI had something like 250K members to the NRA's 3 million.
If true, and they want to play duelling mandates, well ...",misc.forsale
"*********************Word Perfect V2.1 for the Mac*********************


I have a brand new copy of Word Perfect 2.1.  It is the latest release,   $100
it has not been used and is still in shrink wrap.  It is a student
version so it is not upgradable to a newer version.  It sells for $250+
I would like to get $100 for it.

Please e-mail to jbell@eecom.gatech.edu
-- ",comp.os.ms-windows.misc
"application  
comp  
Indeed,  
of  
and 

Well, I thought that highmem.sys would do that too. I just took out emm386  
of my config.sys, and I'm still loading my other drivers high (mouse, vga  
shadow bios, dos-key etc.) I haven't checked mem/c, but I believe I have  
managed to load them high (ie between 640KB and 1024KB).

Also, ever since I took out emm386, windows loads slightly faster, I get  
about 3 extra meg of freemem in windows (I'm running 386 enhanced with 4  
Meg RAM, 7 Meg swap) and I got rid of my ctrl-alt del reboot problem  
(before, the computer would not reboot using ctrl-alt-del after exiting  
windows). 

I would really like to keep emm386 out of my config.sys. Anybody else have  
info on this???",rec.autos
"Hi,

I use a PC with a screen access program (IBM Screen Reader) and a
speech synthesizer. (Accent SA).

I would like to find out about screen access programs for the windows
platform.  I heard that were a couple of them out now under beta
testing, I would like to find out addresses/prices etc.

Thanks,

--Raman ",rec.autos
"Here is some material by Michael Davies on the subject of schism in
general and Archishop Lefebvre in particular.  He wrote it around
1990.  The first part of the two-part article was on the scandalous
activities of Archbishop Weakland (in this country), but I cut all
that.  And I pared down the rest to what was relevant.

Joe Buehler

...

Schism and Disobedience

According to St. Thomas Aquinas, schism consists primarily in a
refusal of submission to the Pope or communion with the members of the
Church united to him. On first sight it would appear that, whatever
the subjective motivation of the Archbishop, as discussed above, he
must be in a state of objective schism as he has refused to submit to
the Pope on a very grave matter involving his supreme power of
jurisdiction. However, standard Catholic textbooks of theology make it
clear that while all schisms involve disobedience not all acts of
disobedience are schismatic. If this were so, as was noted at the
beginning of this article, it would mean that the number of American
bishops who are not schismatic would not reach double figures.

The distinction between disobedience and schism is made very clear in
the article on schism in the very authoritative Dictionnaire de
Theologie Catholique. The article is by Father Yves Congar who is
certainly no friend of Archbishop Lefebvre.  He explains that schism
and disobedience are so similar that they are often confused. Father
Congar writes that schism involves a refusal to accept the existence
of legitimate authority in the Church, for example, Luther's rejection
of the papacy. Father Congar explains that the refusal to accept a
decision of legitimate authority in a particular instance does not
constitute schism but disobedience.  The Catholic Encyclopedia
explains that for a Catholic to be truly schismatic he would have to
intend ""to sever himself from the Church as far as in him lies.""  It
adds that ""not every disobedience is schism; in order to possess this
character it must include besides the transgression of the command of
the superiors, a denial of their divine right to command.""Not only
does Mgr. Lefebvre not deny the divine right of the Pope to command,
but he affirms repeatedly his recognition of the Pope's authority and
his intention of never breaking away from Rome. The Archbishop made
his attitude clear in the July/August 1989 issue of 30 Days: ""We pray
for the Pope every day. Nothing has changed with the consecrations
last June 30. We are not sedevacantists. We recognize in John Paul II
the legitimate Pope of the Catholic Church. We don't even say that he
is a heretical Pope. We only say that his Modernist actions favor
heresy.""

...

Intrinsically Schismatic?

The principal argument used by those claiming that Mgr. Lefebvre is in
schism is that the consecration of a bishop without a papal mandate is
an intrinsically schismatic act. A bishop who carries out such a
consecration, it is claimed, becomes ipso facto a schismatic. This is
not true. If such a consecration is an intrinsically schismatic act it
would always have involved the penalty of excommunication. In the 1917
Code of Canon Law the offence was punished only by suspension (see
Canon 2370 of the 1917 Code). Pope Pius XII had raised the penalty to
excommunication as a response to the establishment of a schismatic
church in China. The consecration of these illicit Chinese bishops
differed radically from the consecrations carried out by Mgr. Lefebvre
as the professed intention was to repudiate the authority of the Pope,
that is, to deny that he has the right to govern the Church, and the
illicitly consecrated Chinese bishops were given a mandate to exercise
an apostolic mission. Neither Archbishop Lefebvre nor any of the
bishops he has consecrated claim that they have powers of
jurisdiction. They have been consecrated solely for the purpose of
ensuring the survival of the Society by carrying out ordinations and
also to perform confirmations. I do not wish to minimize in any way
the gravity of the step take by Mgr. Lefebvre. The consecration of
bishops without a papal mandate is far more serious matter than the
ordination of priests as it involves a refusal in practice of the
primacy or jurisdiction belonging by divine right to the Roman
Pontiff. But the Archbishop could argue that the crisis afflicting the
Church could not be more grave, and that grave measures were needed in
response.

It appears to be taken for granted by most of the Archbishop's critics
that he was excommunicated for the offense of schism, and the Vatican
has certainly been guilty of fostering this impression.  There is not
so much as a modicum of truth in this allegation. The New Code of
Canon Law includes a section beginning with Canon 1364 entitled
""Penalties for Specific Offenses"" (De Poenis in Singula Dicta). The
first part deals with ""Offenses against Religion and the Unity of the
Church"" (De Delictis contra Religionem et Ecclesiae Unitatem). Canon
1364 deals with the offense of schism which is, evidently, together
with apostasy and heresy, one of the three fundamental offenses
against the unity of the Church.

But the Archbishop was not excommunicated under the terms of this
canon or, indeed, under any canon involving an offense against
religion or the unity of the church. The canon cited in his
excommunication comes from the third section of ""Penalties for
Specific Offenses"" which is entitled ""Usurpation of Ecclesial
Functions and Offenses in their Exercise"" (De Munerum Ecclesiasticorum
Usurpatione Degue Delictis iniis Exercendis). The canon in question is
Canon 1382, which reads: ""A bishop who consecrates someone bishop and
the person who receives such a consecration from a bishop without a
pontifical mandate incur an automatic (latae sententiae)
excommunication reserved to the Holy See.""

The scandalous attempts to smear Archbishop Lefebvre with the offense
of schism are, then, contrary to both truth and charity. A comparable
smear under civil as opposed to ecclesiastical law would certainly
justify legal action for libel involving massive damages. An accurate
parallel would be to state that a man convicted of manslaughter had
been convicted of first degree murder.

I must stress that what I have written here is not the dubious opinion
of laymen unversed in the intricacies of Canon Law. Canon lawyers
without the least shred of sympathy for Mgr. Lefebvre have repudiated
the charge of schism made against him as totally untenable. Father
Patrick Yaldrini, Dean of the Faculty of Canon Law of the Institut
Catholique in Paris noted in the 4 July 1988 issue of Valeurs
actuelles that, as I have just explained, Mgr.  Lefebvre was not
excommunicated for schism but for the usurpation of an ecclesiastical
function. He added that it is not the consecration of a bishop which
constitutes schism but the conferral of an apostolic mission upon the
illicitly consecrated bishop. It is this usurpation of the powers of
the sovereign pontiff which proves the intention of establishing a
parallel Church.

Cardinal Rosalio Lara, President of the Pontifical Commission for the
Authentic Interpretation of Canon Law, commented on the consecrations
in the 10 July 1988 issue of la Repubblica. It would be hard to

    The act of consecrating a bishop (without a papal mandate) is not
    in itself a schismatic act. In fact, the Code that deals with
    offenses is divided into two sections. One deals with offenses
    against religion and the unity of the Church, and these are
    apostasy, schism, and heresy. Consecrating a bishop with a
    pontifical mandate is, on the contrary, an offense against the
    exercise of a specific ministry. For example, in the case of the
    consecrations carried out by the Vietnamese Archbishop Ngo Dinh
    Thuc in 1976 and 1983, although the Archbishop was excommunicated
    he was not considered to have committed a schismatic act because
    there was no intention of a breach with the Church.

....

It is not simply unjust but ludicrous to suggest that in consecrating
bishops without a papal mandate Archbishop Lefebvre had the least
intent of establishing a schismatic church. He is not a schismatic and
will never be a schismatic. The Archbishop considers correctly that
the the Church is undergoing its worst crisis since the Arian heresy,
and that for the good of the Church it was necessary for him to
consecrate the four bishops to ensure the future of his Society. Canon
Law provides for just such a situation, and even if one believes that
the future of the Society could have been guaranteed without these
consecrations, the fact that the Archbishop believed sincerely that it
could not means, as Canon Law states clearly, that he has not incurred
excommunication. Furthermore, while the Vatican allows such prelates
as Archbishop Weakland to undermine the Faith with impunity it cannot
expect Catholics to pay the least attention to its sanctions against a
great and orthodox Archbishop whose entire life has been devoted to
the service of the Church and the salvation of souls.

Dr. Eric M. de Saventhem, President of the International Una Voce
Association, is one of the best informed laymen in the Church, and he
knows the Archbishop intimately. Dr. de Saventhem, like myself, has no
greater desire than to see a reconciliation between Mgr. Lefebvre and
the Holy See during the Archbishop's lifetime. A quotation from a
statement by Dr. de Saventhem which was published in the 15 February
1989 Remnant merits careful study:",soc.religion.christian
"I am considering the purchse of a 1987 VW Jetta GLI with 87k miles on it.
I recently found out that there are two versions of the GLI -- 8v and 16v.
I know of three differences between the two cars that both carry the same
name:  the 16v version has 20 more horsepower, 4 wheel discs, and a standard
sunroof. 
Oops, that's the difference between the GLI 16v and the regular GL !!
So in addition to the engine, what other differences exist between the
two models of the Jetta GLI ?
More importantly, how can I tell which version this one is ?  There are
no badges that said ""16v"" so I am inclined to think that is the 8v version.
Assuming this one (the one I looked at) is the 8v version, is there a valid
reason to buy it instead of a comparably equipped GL which would cost less ?
(Of course I would love to get the 16v version, but money talks.)",talk.politics.guns
